id,origin_id,neighbor_1_id,neighbor_2_id,origin_x,origin_y,neighbor_1_x,neighbor_1_y,neighbor_2_x,neighbor_2_y,theta,radius,centerx,centery,nn_id
3854,12339231582,12339231581,12339231628,-21.9560505,64.1299493,-21.9543388,64.1300675,-21.9561277,64.1300702,118.60979156185226,0.04825392181272299,-21.981303733614286,64.0798366254151,"('way', 101377019)"
3855,12339231582,12339231626,12339231628,-21.9560505,64.1299493,-21.9563989,64.1299056,-21.9561277,64.1300702,64.58927126994021,0.010376799762936676,-21.938468820235723,64.1216964702139,"('way', 101978691)"
3856,12339231593,12339231592,12339231698,-21.9509214,64.1286696,-21.9510842,64.1287112,-21.9509859,64.1286192,52.3378706631992,0.007494910661069447,-21.934288144592582,64.13215506394371,"('way', 102191402)"
3857,12339231593,12339231625,12339231698,-21.9509214,64.1286696,-21.9507581,64.128628,-21.9509859,64.1286192,127.70421722132832,0.08479050465138456,-21.970327927394827,64.22111185262212,"('way', 103554280)"
3858,12339231597,12339231596,12339264112,-21.9545787,64.1293902,-21.95445,64.1294083,-21.9543467,64.1292306,42.53070059215937,0.005271370378166744,-21.96872539591256,64.13272389496805,"('way', 678120359)"
3859,12339231598,12339231599,12339231620,-21.9473443,64.1277568,-21.9470056,64.128023,-21.947445,64.1277828,127.35737918742102,0.08022142602547352,-21.928974278627006,64.04016158804758,"('way', 104964246)"
3860,12339231602,12339231601,12339231603,-21.9462621,64.1286324,-21.9462985,64.1285789,-21.9462639,64.1286827,143.72018250823538,0.17264319555957874,-21.771706561417325,64.07828109168351,"('way', 105016215)"
3861,12339231603,12339231602,12339231604,-21.9462639,64.1286827,-21.9462621,64.1286324,-21.9463104,64.1287192,130.17947914430252,0.02980791525889693,-21.916970106180262,64.1435827097501,"('way', 87825475)"
3862,12339231619,12339231618,12339264107,-21.9539582,64.1306743,-21.9532918,64.1305058,-21.9539252,64.1307075,59.36298753782829,inf,inf,inf,None
3863,12339231649,12339231648,12339231650,-21.958259,64.1301318,-21.958266,64.1301715,-21.9582142,64.130065,156.15162201197407,0.41641107400240723,-21.56344322984719,64.28903834328979,"('way', 101552894)"
3864,12339231656,12339231655,12339231659,-21.9571988,64.1296111,-21.957447,64.1296823,-21.95728,64.1294911,71.92145329778697,0.0123422977310303,-21.93744280522606,64.13678388188255,"('way', 101552907)"
3865,12339231656,12339231655,12339231658,-21.9571988,64.1296111,-21.957447,64.1296823,-21.9570531,64.1296968,133.5298183433692,0.004861294108055322,-21.95653310781141,64.12436277351884,"('way', 101978726)"
3866,12339231656,12339231659,12339231658,-21.9571988,64.1296111,-21.95728,64.1294911,-21.9570531,64.1296968,154.54872835884382,0.3165215572149668,-22.179285597829747,64.36619670152258,"('way', 101978679)"
3867,12339231660,12339231659,12339231661,-21.9573237,64.1293555,-21.95728,64.1294911,-21.9573068,64.1292568,152.42105448868378,0.32001150149648416,-22.285999978343323,64.15276063166672,"('way', 101978693)"
3868,12339231682,12339231681,12339231690,-21.9524778,64.1277737,-21.9525969,64.1277659,-21.9524584,64.1277445,119.8523922784558,0.051460907952505026,-21.926105114072893,64.18107202865977,"('way', 102191369)"
3869,12339231682,12339231683,12339231690,-21.9524778,64.1277737,-21.9523665,64.1277873,-21.9524584,64.1277445,63.367156307652586,0.009539041950717662,-21.96897562082317,64.13536778535594,"('way', 497233236)"
3870,12339231689,12339231688,12339231699,-21.951693,64.1280987,-21.9519326,64.1279224,-21.9504419,64.1277802,129.3712674155765,0.0703154989573932,-21.966577177765,64.20444612154418,"('way', 102272252)"
3871,12339231689,12339231698,12339231699,-21.951693,64.1280987,-21.9509859,64.1286192,-21.9504419,64.1277802,50.6397163570772,0.007020923532747175,-21.96780598651091,64.1249558177699,"('way', 103554279)"
3872,12339231704,12339231703,12339231705,-21.9480796,64.1271787,-21.9482094,64.1272117,-21.9482038,64.1270738,54.44913161104613,0.007928919117265088,-21.931189339958316,64.1310657222705,"('way', 102291776)"
